NumImm,Nom,Prenom,CIN,Adresse,Tel,Status
IMM00001,Blanchet,Camille,eh68278,"588, rue Dumas, 19423 Fischer-sur-Tessier",+33 (0)1 42 91 71 60,Inactif
IMM00002,Descamps,Pierre,kV64493,"60, rue Georges Rey, 18948 Guyon",+33 5 46 03 59 52,Actif
IMM00003,Evrard,Lucie,UW83968,"46, avenue Ledoux, 11903 Morvan",04 97 77 05 27,Actif
IMM00004,Mercier,Yves,ZO14762,"2, rue Voisin, 49275 Vallée-la-Forêt",03 76 88 85 91,Actif
IMM00005,Imbert,Hortense,Hj39877,"boulevard de Le Goff, 80865 Maury",+33 (0)4 70 81 94 78,Inactif
IMM00006,Mahe,Jean,MF10773,"34, avenue de Regnier, 88439 Maréchal",+33 (0)6 08 84 96 63,Suspendu
IMM00007,Munoz,Alphonse,pd92091,"422, rue de Baron, 81666 Hoareau",0444019410,Actif
IMM00008,Traore,Bertrand,Cd28953,"74, boulevard René Rousset, 22294 Lebrundan",+33 6 33 35 14 02,Inactif
IMM00009,Lelièvre,Léon,xB51697,"92, avenue Frédéric De Sousa, 72559 Saint Isabelle",+33 (0)3 81 15 58 14,Actif
IMM00010,Besson,Adrien,ZP99179,"39, boulevard de Bernier, 73840 Gomez-sur-Fabre",+33 (0)5 31 50 84 13,Actif
IMM00011,Charpentier,Michel,HJ85768,"8, chemin Danielle Mendès, 58233 Roynec",0556137432,Suspendu
IMM00012,Delmas,Josette,pi20401,"8, avenue de Michaud, 30425 Laporteboeuf",+33 (0)1 48 20 82 72,Actif
IMM00013,Lefebvre,Henri,oq42140,"boulevard Manon Bonnet, 37341 Saint Lorraine",07 34 74 79 36,Actif
IMM00014,Verdier,Simone,Ae11846,"5, avenue Isaac Poirier, 16956 Brun",+33 (0)7 65 89 37 96,Actif
IMM00015,Payet,Jules,yj97211,"29, avenue Clémence Dupré, 35155 Fernandes",05 64 83 14 66,Actif
IMM00016,Ollivier,Raymond,fG61135,"25, chemin de Étienne, 97470 Lamy",0238928424,Actif
IMM00017,Guibert,Auguste,zO18152,"27, boulevard de Albert, 19764 Lejeune-les-Bains",0785160318,Actif
IMM00018,Thierry,Émile,xf68140,"334, rue de Pons, 88417 Saint Océane-la-Forêt",0536975328,Actif
IMM00019,Marchand,Luce,TZ99157,"24, avenue Michaud, 03227 Neveu",+33 6 38 45 55 45,Inactif
IMM00020,Charrier,Sabine,bS46580,"boulevard Lenoir, 24772 Dos Santos",0469100293,Suspendu
IMM00021,Dias,Alexandria,FK09377,"boulevard de Mallet, 43659 Turpin-sur-Payet",0450363889,Suspendu
IMM00022,Hervé,Matthieu,nX63002,"rue Gilles, 39478 Potier",+33 (0)3 10 74 66 44,Actif
IMM00023,Wagner,Capucine,zW25171,"boulevard Roger Royer, 03632 Gosselin",03 84 29 60 39,Actif
IMM00024,Diaz,Susan,aD66105,"avenue Bernier, 17502 Saint Andrée",04 78 40 48 54,Inactif
IMM00025,Duval,Vincent,Mx72851,"7, rue de Lecoq, 81408 Coste",+33 2 52 91 04 81,Actif
IMM00026,Delannoy,Constance,Lo76281,"738, boulevard Collet, 75756 Sainte Adriennenec",06 32 19 54 04,Actif
IMM00027,Léger,Nicolas,MI31074,"50, boulevard de Guyot, 57780 Labbédan",+33 (0)2 72 02 22 76,Inactif
IMM00028,Lopez,Éric,Ok77635,"2, chemin Joséphine Pasquier, 22369 Carpentier-la-Forêt",+33 (0)3 10 03 08 52,Inactif
IMM00029,Delaunay,Gilles,EH90051,"67, boulevard Roussel, 56729 Cordier-sur-Dupont",06 11 32 04 85,Suspendu
IMM00030,Mercier,Jacqueline,Da28395,"4, boulevard Riou, 68225 Vincent-sur-Mer",+33 2 29 64 38 00,Actif
IMM00031,Daniel,Charlotte,ej53014,"65, chemin Madeleine Jacques, 85284 Jacquotdan",0636157580,Actif
IMM00032,Gilbert,Bertrand,eJ77126,"avenue Bernard, 63608 PineauVille",0320990332,Actif
IMM00033,Baron,Paulette,ks15526,"80, boulevard de Lefèvre, 25620 MunozVille",05 45 48 41 22,Actif
IMM00034,Lévêque,Julien,uG76246,"445, avenue Pereira, 04578 Carpentierdan",+33 1 48 34 48 77,Actif
IMM00035,Roche,Odette,Kc03283,"rue Arnaude Hebert, 20565 Dubois",0176566317,Inactif
IMM00036,Maillot,Luc,Ny89347,"89, boulevard Briand, 05987 Jacquetnec",06 37 25 12 88,Actif
IMM00037,Navarro,Victor,PV77655,"48, rue Josette Lebon, 58924 Bouchet",+33 (0)2 28 34 36 86,Inactif
IMM00038,Mendès,Juliette,Us12963,"rue Hervé, 04474 Voisin",0567920385,Suspendu
IMM00039,Guillot,Sophie,KR25449,"3, rue Nath Descamps, 82173 Lesage",06 53 12 44 50,Actif
IMM00040,Lecoq,Auguste,RZ49148,"83, rue Allard, 94729 Gimenez-sur-Menard",05 65 60 82 46,Actif
IMM00041,Grondin,Gabriel,sa35124,"avenue Leconte, 50260 KleinVille",0618121687,Actif
IMM00042,Morel,Lucie,Zv75259,"850, rue Julie Paul, 79336 Carredan",0358686134,Suspendu
IMM00043,Lopes,Margot,Be78717,"147, rue Capucine Lefort, 38387 Fernandes",+33 4 82 26 75 00,Actif
IMM00044,Ferrand,Céline,Tp48404,"rue Fischer, 38863 Saint Inèsboeuf",+33 1 47 95 35 37,Actif
IMM00045,Chauvet,Stéphane,zx04065,"787, boulevard de Turpin, 55937 Brunet",0495612766,Actif
IMM00046,Schneider,Margaret,cR70251,"avenue de Daniel, 75136 Grégoire",02 61 70 36 93,Inactif
IMM00047,Munoz,Astrid,zW61176,"176, avenue David Maillet, 30118 Bruneau",+33 (0)2 48 49 77 87,Actif
IMM00048,Garcia,Chantal,GS13076,"55, rue Denis, 50948 Morinboeuf",+33 2 54 22 39 77,Actif
IMM00049,Salmon,Geneviève,sI22591,"754, rue Collet, 88668 De Sousa",+33 (0)2 29 25 80 18,Inactif
IMM00050,Charles,Julie,MK52700,"44, boulevard de Masse, 53737 Perrot-sur-Chauvet",+33 3 60 45 09 38,Actif
IMM00051,Marin,Mathilde,tA27457,"58, avenue de Bodin, 72340 Lebrun",0290309993,Actif
IMM00052,Lemoine,Daniel,Uf78448,"82, rue Pénélope Roy, 75325 Diallonec",0252505914,Actif
IMM00053,Boulanger,Agnès,tT36272,"647, chemin de Boyer, 09156 Maury",+33 (0)4 89 97 72 98,Inactif
IMM00054,Picard,Christine,Lm40358,"15, boulevard Mathieu, 67461 Bousquet-sur-Bruneau",+33 5 46 43 54 25,Actif
IMM00055,Ferrand,Dorothée,PX48745,"7, rue de Payet, 26245 Rousset",+33 2 34 09 12 92,Inactif
IMM00056,Berthelot,Alphonse,ZC58381,"6, rue Aurore Sauvage, 16556 Blanc",01 30 91 21 19,Suspendu
IMM00057,Dos Santos,Jean,oP85086,"3, chemin Gilles Techer, 08579 Sainte Laurentdan",01 48 68 40 39,Actif
IMM00058,Lacroix,Cécile,Aq26966,"77, boulevard Grenier, 75383 Vallée",01 78 47 15 14,Actif
IMM00059,Royer,Stéphanie,Wa40427,"200, rue Noël Pichon, 12523 Sainte Astrid",03 54 30 81 03,Suspendu
IMM00060,Roche,Christine,BL95356,"avenue Bonnet, 83328 Denis",+33 (0)3 82 00 45 02,Actif
IMM00061,Bodin,Frédérique,cY04189,"9, rue Pires, 68868 De Oliveira",0582389607,Actif
IMM00062,Labbé,Manon,AZ49733,"3, chemin Alice Charrier, 71949 Le GoffVille",02 77 06 01 97,Inactif
IMM00063,Perret,Gabriel,Qh75334,"88, chemin Laurent Marty, 93372 Picard-sur-Berthelot",0321429999,Actif
IMM00064,Grégoire,Daniel,xc29111,"25, rue de Chrétien, 20238 Saint OdetteVille",+33 (0)4 90 39 59 48,Actif
IMM00065,Leconte,Christine,lM60622,"62, avenue de Maréchal, 33101 Sainte Valentine",02 52 33 39 46,Inactif
IMM00066,Moreno,Sébastien,wN04438,"8, chemin Olivier Pascal, 57965 Guibert",+33 (0)4 71 55 07 30,Actif
IMM00067,Potier,Chantal,Ou75890,"6, rue de Garnier, 64643 Benoit",+33 2 48 64 98 40,Inactif
IMM00068,Dupuy,Édouard,CN01940,"116, chemin Claire Masse, 73211 Saint Pierre-sur-Mer",06 35 71 18 06,Actif
IMM00069,Martineau,Susanne,PW08561,"8, rue Victoire Joseph, 12727 Gay-sur-Mer",03 72 54 31 98,Suspendu
IMM00070,Neveu,Denise,FZ18702,"509, avenue Roger, 60568 Saint CharlotteBourg",+33 (0)4 66 12 33 55,Actif
IMM00071,Bodin,Alice,od64364,"chemin Michelle Costa, 05617 Henry",+33 (0)4 97 07 27 88,Inactif
IMM00072,Morin,Anouk,DC26693,"884, chemin Daniel, 64835 Saint Virginiedan",+33 3 23 42 91 58,Actif
IMM00073,Leclercq,Jacqueline,xi15907,"569, chemin Valentine Lemonnier, 40553 Chauvet",03 51 09 66 38,Actif
IMM00074,Fernandes,Constance,pF98766,"avenue Duval, 82957 Bazin",0579570923,Actif
IMM00075,Petit,Aimé,uI98903,"boulevard Petitjean, 53115 RobertVille",+33 (0)2 45 93 12 11,Suspendu
IMM00076,Raynaud,Céline,xZ19446,"7, boulevard de Moreau, 33248 Hebertboeuf",+33 1 39 60 57 98,Inactif
IMM00077,Bouvet,Marine,Hz28883,"rue de Dumas, 31631 Gonzalez",+33 (0)3 23 83 75 78,Actif
IMM00078,Barre,Paul,cQ37054,"41, avenue de Laurent, 55712 Dupré",0553997505,Actif
IMM00079,Allard,Chantal,Li67933,"rue de Albert, 56174 RocheBourg",+33 (0)3 68 58 14 77,Inactif
IMM00080,Martin,Christiane,kx16750,"5, rue de Lopes, 25930 Fernandez-la-Forêt",+33 (0)1 77 94 18 24,Actif
IMM00081,Leroux,Joseph,Ch02427,"37, rue Virginie Regnier, 41842 Bodin",03 69 59 99 28,Actif
